# Recorded body-size ceilings, in approximate tokens (whole-file chars/4,
# the same proxy scripts/custodian-skill-lint.sh reports).
#
# WHY THIS EXISTS. The lint reports the ~5000-token body budget as INFO,
# and 5000 is not reachable for a spec governing a five-phase unattended
# cron — so the advisory is permanently red and permanently ignored,
# which is recall rather than enforcement. These ceilings are the
# enforcement half: not the budget, but the size this file was LAST
# DELIBERATELY AGREED to be.
#
# THIS IS NOT A ONE-WAY RATCHET. A genuinely new mechanism is allowed to
# raise its ceiling — looper-custodian's body grew 646 tokens for the
# Phase A receipts sweep, and that growth paid for itself. What is not
# allowed is growing without anyone deciding. Raise the number in the
# same commit that grows the file, and the diff shows the trade.
#
# THE MARGIN IS DERIVED, NOT ROUND. A ceiling set to the file's exact
# size fails on the next sentence anyone writes, which trains people to
# raise the number reflexively — the opposite of a deliberate decision.
# So each ceiling carries roughly one mechanism's worth of slack, priced
# from the last real one: the Phase A receipts sweep cost 646 tokens for
# its paragraph, report line, roster entry and does-NOT line. One
# ordinary addition fits; a second forces the extract-or-raise call.
#
# Opt-in: a skill with no row here is not checked.
#
# skill	ceiling	note
looper-custodian	8691	8127 actual, 564 under; the ceiling was set at 8041 + ~650 for one mechanism, priced off the receipts sweep; the report body's rendering detail took it from 9667
#
# W1 SEEDING. Every skill and agent got a row so the reductions waves W2-W7
# buy cannot drift back one paragraph at a time. Margin is one mechanism
# (~650) or a fifth of the file, whichever is SMALLER: 650 on a 1000-token
# agent is 65% slack, which trips this check's own "guards nothing" note and
# is a ceiling in name only. Each wave that shrinks a file LOWERS its
# ceiling in the same commit.
loop-de-looper	10275	10270 after #73's direct-fix corrective-budget clarification; +1 landed merging main (#76's brief-claim-verification edits to this file)
looper-build	2110	1759 at W1 seeding, +351 margin
looper-commit	3393	2828 at W1 seeding, +565 margin
looper-declutter	4699	4049 at W1 seeding, +650 margin
looper-defend	8682	8032 at W1 seeding, +650 margin
looper-learn	3361	2801 at W1 seeding, +560 margin
looper-nonbeliever	2424	2020 at W1 seeding, +404 margin
looper-plan	5599	4949 at W1 seeding, +650 margin
looper-recap	996	830 at W1 seeding, +166 margin
looper-research	2056	1714 at W1 seeding, +342 margin
looper-review	2488	2074 at W1 seeding, +414 margin
looper-scope	3140	2617 at W1 seeding, +523 margin
looper-verify	3681	3068 at W1 seeding, +613 margin
agents/the-auditor.md	3830	3192 at W1 seeding, +638 margin
agents/the-chemist.md	1586	1322 at W1 seeding, +264 margin
agents/the-chronicler.md	2869	2391 at W1 seeding, +478 margin
agents/the-diamantaire.md	1922	1602 at W1 seeding, +320 margin
agents/the-ghostwriter.md	3262	2719 at W1 seeding, +543 margin
agents/the-improver.md	2204	1837 at W1 seeding, +367 margin
agents/the-looper.md	5867	5217 at W1 seeding, +650 margin
agents/the-stickler.md	1290	1075 at W1 seeding, +215 margin
agents/the-turncoat.md	2245	1871 at W1 seeding, +374 margin
agents/the-wordsmith.md	1190	992 at W1 seeding, +198 margin
